route_id,route_name,route,provider,provider_url,cost,price_usd,network,asset,pay_to,capability,category_label,cluster_label,provider_shape_type,verdict,risk_flags,observed_txns_30d,observed_volume_usd_30d,quality_score,evidence_stage,niche_label,niche_tier,niche_tier_name,novelty_score,replaces,composable_with,interest_angle,is_live_30d,x402scan_source_url,inspect_url
r_08f01e6a6c68,watchlist,https://mru-oracle.com/compliance/watchlist,Mauritius Oracle — x402 Gateway Powered by SENTINEL,https://mru-oracle.com,0.002 USDC,0.002,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x237371f8b372A02b58fB430eb564b7c5cb936f75,"Sentinel AML Intelligence: search 1.1M+ OFAC/UN/EU sanctions, PEPs, Interpol, World Bank debarment, crypto watchlists",Data enrichment,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/8e529674-0f95-4332-9425-2a121e13523b,https://www.x402scan.com/server/8e529674-0f95-4332-9425-2a121e13523b
r_2ead0b0ecf41,sanctions,https://chain-analyzer.com/x402/api/address/0x0000000000000000000000000000000000000000/sanctions,ChainAnalyzer — Multi-Chain AML and Stablecoin Intelligence,https://chain-analyzer.com,0.003 USDC,0.003,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xe8e26183736D796d401Df30810207465fa708959,"OFAC / FATF / JFSA sanctions screening for any blockchain address. Returns hit list with sanction list source, designation date, and program code.",Onchain and finance,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/78ee8ac2-bc8c-4d44-a565-45ead6dd5364,https://www.x402scan.com/server/78ee8ac2-bc8c-4d44-a565-45ead6dd5364
r_3b128a1512d6,:address,https://api.aurelianflo.com/api/ofac-wallet-screen/:address,AurelianFlo - OFAC Wallet Screening and Compliance APIs,https://api.aurelianflo.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Exact-match OFAC wallet screening and crypto wallet sanctions check for sanctioned digital currency addresses. Screens one wallet address against Treasury's public SDN advanced XML and returns hit or clear status, asset coverage, sanctioned entity metadata, sanctions programs, list source, listing date, and a manual-review signal for onchain payment and treasury controls.",Onchain and finance,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53
r_47f57d0b108c,:address,https://x402.aurelianflo.com/api/ofac-wallet-screen/:address,AurelianFlo — Compliance APIs for the agent era,https://x402.aurelianflo.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Exact-match OFAC SDN wallet screening for sanctioned digital currency addresses. Screens one wallet address against Treasury's public SDN advanced XML and returns hit or clear status, asset coverage, sanctioned entity metadata, sanctions programs, list source, listing date, and a manual-review signal for onchain payment and treasury controls.",Onchain and finance,Sensitive verification and legal risk,broad catalog,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/ba7dfc19-17d1-4c3e-b298-6861f879ceba,https://www.x402scan.com/server/ba7dfc19-17d1-4c3e-b298-6861f879ceba
r_792b703e2da9,:address,https://aurelianflo.com/api/ofac-wallet-screen/:address,AurelianFlo — Compliance APIs for the agent era,https://aurelianflo.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Exact-match OFAC SDN wallet screening for sanctioned digital currency addresses. Screens one wallet address against Treasury's public SDN advanced XML and returns hit or clear status, asset coverage, sanctioned entity metadata, sanctions programs, list source, listing date, and a manual-review signal for onchain payment and treasury controls.",Onchain and finance,Sensitive verification and legal risk,broad catalog,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/1eb3e6b9-8e8e-4939-9be9-815c1f3ac2b8,https://www.x402scan.com/server/1eb3e6b9-8e8e-4939-9be9-815c1f3ac2b8
r_de83cd087a47,counterparty,https://sentinel-awms.onrender.com/verify/counterparty,Sentinel — The Trust Layer for Autonomous Agents,https://sentinel-awms.onrender.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x7DB238aF8AaE72C57A943060BFd69B8eB619d9a8,"Sentinel Counterparty Intelligence - OFAC sanctions screening, address reputation, exploit association. Creates an on-chain EAS attestation.",Onchain and finance,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/1b4e9699-4b98-435b-93e7-271296539391,https://www.x402scan.com/server/1b4e9699-4b98-435b-93e7-271296539391
r_348581dd48c2,:address,https://www.aurelianflo.com/api/ofac-wallet-screen/:address,AurelianFlo — Compliance APIs for the agent era,https://www.aurelianflo.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Exact-match OFAC SDN wallet screening for sanctioned digital currency addresses. Screens one wallet address against Treasury's public SDN advanced XML and returns hit or clear status, asset coverage, sanctioned entity metadata, sanctions programs, list source, listing date, and a manual-review signal for onchain payment and treasury controls.",Onchain and finance,Sensitive verification and legal risk,broad catalog,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/046f70e6-6a6b-48b8-8f23-c61f9694cde2,https://www.x402scan.com/server/046f70e6-6a6b-48b8-8f23-c61f9694cde2
r_725d4feff617,invoke,https://usemur.dev/api/flows/txn-checker/invoke,"Murmuration — Publish Code, Get Paid When Agents Call It",https://usemur.dev,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x287da9f04935182f811636e0674a470a89f9d0cd,"Two-layer EVM transaction verification: deterministic triggers (OFAC, balance, gas, limits) reject fast, then Graph-of-Thoughts LLM reasoning checks intent alignment, adversarial patterns, and compliance. | More info: https://usemur.dev/f/txn-checker",Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/fead0883-cf23-49f7-847f-d53988e67595,https://www.x402scan.com/server/fead0883-cf23-49f7-847f-d53988e67595
r_c469da374cb9,invoke,https://flows.litprotocol.com/api/flows/txn-checker/invoke,"Flows — Publish Code, Get Paid When Agents Call It",https://flows.litprotocol.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x6a9450e169b2ee60efbe1493c62baa099ed1c42b,"Two-layer EVM transaction verification: deterministic triggers (OFAC, balance, gas, limits) reject fast, then Graph-of-Thoughts LLM reasoning checks intent alignment, adversarial patterns, and compliance. | More info: https://flows.litprotocol.com/f/txn-checker",Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/3ffe878f-beb2-4504-91c4-92df4fa32e83,https://www.x402scan.com/server/3ffe878f-beb2-4504-91c4-92df4fa32e83
r_c7987b02b0b7,crossings,https://war-tracker.com/api/v1/hormuz/crossings,"War-Tracker — Unbiased, Uncensored, Live War Tracker Map | Real-Time OSINT Conflict Map",https://war-tracker.com,0.01 USDC,0.01,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x8B7243F652D3641F661619862157686992640b37,"Paginated feed of individual vessel transits through the Strait of Hormuz, sourced from the ShipTracker live AIS feed. One row per (vessel, direction, crossing-day). Each row carries `dt_utc` (UTC day), MMSI + resolved IMO, vessel name and shiptype, flag (`country_code`), operator company, deadweight tonnage (`dwt`), `direction` (0 or 1), `time1` / `time2` (ShipTracker first/second-cross timestamps), and the `sanctioned` / `watchlisted` flags resolved against our internal mirror of OFAC + 8…","Search, crawl, scrape",Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa,https://www.x402scan.com/server/5fabd45f-be84-4001-b869-b370e958f7aa
r_7259d0282275,wallet_address,https://x402-cybercentry-wallet-verification.up.railway.app/verify/wallet_address,Cybercentry Wallet Verification - x402,https://x402-cybercentry-wallet-verification.up.railway.app,0.02 USDC,0.02,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xfEE13309251B632317ea2d475d6ABa7E7E0219e6,"Verify wallet addresses using the Cybercentry Wallet Verification (CWV) API. Returns detailed risk analysis including Sanction Type, Designation Date, Target Address, Individual Profile, Associated Individual, Sanctions Programme, and Source URL","Trust, risk, verification",Sensitive verification and legal risk,long tail,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/072ad760-2057-4236-b21e-718f9ecdb7aa,https://www.x402scan.com/server/072ad760-2057-4236-b21e-718f9ecdb7aa
r_675ab0c5b007,wallet,https://mako.pollinateresearch.com/api/reputation/wallet,https://mako.pollinateresearch.com,https://mako.pollinateresearch.com,0.03 USDC,0.03,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x6e4DfBe49858E9Cb93162352D75DBD1E409A7737,"_MAKO Reputation Score: seller-wallet trust derived from _MAKO's verification history. Aggregates callable rate, schema compliance, settlement readiness, and activity recency across every x402 endpoint operated by the requested wallet — the operator-level complement to Pulse (per-endpoint) and Pricing Index (per-category). Returns a composite score (0-100), tier (trusted/reliable/developing/unreliable/unknown), confidence, sub-scores, and the actual weights applied. Built for counterparty-evaluation agents, routing agents picking between equivalently-priced sellers, and escrow/dispute services. Structurally compatible with emerging ERC-8004 trustless-agent reputation semantics. Keywords: MAKO, _MAKO, Pollinate Research, reputation score, wallet score, seller score, operator trust, counterparty, agent commerce, USDC. Informational only.",Onchain and finance,Onchain market data and wallets,focused provider,PAY,accept_unverified,0,0.0,81,metadata_complete,Wallet forensics,1,enterprise_saas_replacement,9,Chainalysis / TRM / Elliptic ($25k+/yr),Sanctions / OFAC screen; KYC / ID verify; DeFi position,Per-address risk scoring — replaces five-figure-minimum forensic SaaS contracts,no,https://www.x402scan.com/server/e39430b2-66f0-4ce9-bab3-9f4acc56554f,https://www.x402scan.com/server/e39430b2-66f0-4ce9-bab3-9f4acc56554f
r_aee973240d8a,wallet-sanctions-report,https://api.aurelianflo.com/api/workflows/compliance/wallet-sanctions-report,AurelianFlo - OFAC Wallet Screening and Compliance APIs,https://api.aurelianflo.com,0.04 USDC,0.04,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Run an OFAC wallet screening check and return a report-ready compliance payload for crypto payment review, treasury controls, exchange operations, and AML workflows.",Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53
r_3af40bc9aec6,screen,https://api.netbrainis.co.za/v1/aml/screen,"AgentEconomy Compliance API — pay-per-call KYC, AML, risk",https://api.netbrainis.co.za,0.05 USDC,0.05,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x97522cA24C568be2d8E2e79aB4cBA4D074cd4342,AML sanctions screening against OFAC SDN and UN Consolidated lists with jurisdiction risk and recommendation (approve/review/reject),Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/17c76407-91eb-4a6c-a582-badb6f9cdb2b,https://www.x402scan.com/server/17c76407-91eb-4a6c-a582-badb6f9cdb2b
r_4a6e70f3f691,light,https://x402.blocksec.ai/label/screen/light,X402 Protocol - Blockchain Address Compliance & Risk Screening API,https://x402.blocksec.ai,0.1 USDC,0.1,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xBe683Fa884B75Cd5CAC20a13772EF8fFFa716AD6,X402 payment protocol demo for blockchain address label query and compliance risk screening. Powered by BlockSec MetaSleuth and Phalcon compliance APIs.,Onchain and finance,Real-world fulfillment,long tail,PROBE,accept_unverified|real_world_fulfillment,0,0.0,81,metadata_complete,Wallet forensics,1,enterprise_saas_replacement,9,Chainalysis / TRM / Elliptic ($25k+/yr),Sanctions / OFAC screen; KYC / ID verify; DeFi position,Per-address risk scoring — replaces five-figure-minimum forensic SaaS contracts,no,https://www.x402scan.com/server/3419c283-27ab-404b-be00-6ee1f86ed250,https://www.x402scan.com/server/3419c283-27ab-404b-be00-6ee1f86ed250
r_88dc5a145082,report,https://api.netbrainis.co.za/v1/risk/report,"AgentEconomy Compliance API — pay-per-call KYC, AML, risk",https://api.netbrainis.co.za,0.1 USDC,0.1,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x97522cA24C568be2d8E2e79aB4cBA4D074cd4342,Sanctions and jurisdiction risk assessment report combining OFAC/UN screening with multi-country risk analysis,Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/17c76407-91eb-4a6c-a582-badb6f9cdb2b,https://www.x402scan.com/server/17c76407-91eb-4a6c-a582-badb6f9cdb2b
r_77937d7c8529,batch-wallet-screen,https://api.aurelianflo.com/api/workflows/compliance/batch-wallet-screen,AurelianFlo - OFAC Wallet Screening and Compliance APIs,https://api.aurelianflo.com,0.1 USDC,0.1,eip155:8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x348Df429BD49A7506128c74CE1124A81B4B7dC9d,"Screen a batch of crypto wallet addresses against OFAC SDN digital currency address designations and return per-wallet results, a batch-level proceed-or-pause decision, and structured output.",Agent runtime primitives,Sensitive verification and legal risk,focused provider,WARN,accept_unverified|regulated_or_legal,0,0.0,81,metadata_complete,Sanctions / OFAC screen,1,enterprise_saas_replacement,9,ComplyAdvantage / Refinitiv World-Check ($10k+/yr),KYC / ID verify; PEP / adverse media; Wallet forensics,Per-call sanctions checks — replaces enterprise compliance subscriptions,no,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53,https://www.x402scan.com/server/acc70fad-1ab8-41f5-889c-697c4d0f7e53
